名称,英文名,id,poiID,经度,维度
鸽子窝公园,Pigeon Nest Park,5045,76573,39.836202,119.526715
秦皇岛野生动物园,Qinhuangdao Wildlife Park,13486,79001,39.86833,119.517586
北戴河,Beidaihe,16035,10558740,39.834898,119.484515
新澳海底世界,Xin'ao Marine World,13485,10758190,39.906038,119.563192
老龙头,Lao Longtou,5035,76565,39.970259,119.798315
碧螺塔海上酒吧公园,Biluota Sea Bar Park,5046,10558632,39.820438143961965,119.53497709915759
南戴河仙螺岛,South Daihe Xianluodao,13493,79008,39.7930715667339,119.43142111734433
山海关,Shanhai Pass,5040,76570,40.010048028771536,119.7609677799968
秦皇求仙入海处,Site Emperor Qing Begging Immortality,5009,76563,39.914555,119.622221
老虎石海上公园,Tiger Stone Marine Park,78427,90009,39.813902,119.488542
北戴河集发梦想王国,Jifa Agricultural Demonstration Tourist Park,65426,88047,39.82022322881383,119.41830830011018
天下第一关,The First Pass Under Heaven,123669,10540086,40.010134956680176,119.76084288877098
阿那亚,Aranya,1984893,30406479,39.64939765834188,119.31410534555476
联峰山,Lianfeng Mountain,5043,76572,39.82378,119.459579
怪楼奇园,Guai Lou Park,123767,10540178,39.826158,119.498778
贝壳王国,Shell Kingdom,5552355,62087912,39.792734591610376,119.41743133738596
渔岛海洋温泉景区,The Fishland Ocean Resort,123678,10758773,39.605278000000006,119.285078
阿尔卡迪亚滨海度假酒店荣和心苑温泉,,2500563,36047965,39.633565555693664,119.31044544208396
冰塘峪,Crystal Sugar Valley,1730089,22882731,40.10368717748915,119.36300437406841
燕塞湖,Yansai Lake,5039,76569,40.03799694063794,119.7063447966083
角山,Cape Mountain,5036,76566,40.04646663125641,119.73464329076359
山海关古城景区,Shanhaiguan Gucheng Sceneic Area,1833320,24652528,40.00584960169744,119.76158412349261
龙云谷景区,Longyun Valley Scenic Area,140889,101484,40.06467,119.345874
王家大院,Wang Courtyard,123761,10540172,40.006842,119.759385
九门口水上长城,Nine-Gate Water Great Wall,17776,79892,40.117419,119.752215
西港花园,Xigang Garden,5253390,60696973,39.91424,119.617567
孤独图书馆,Lonely Library,5002342,56174174,39.65739420275948,119.32311837391062
东戴河,Dongdaihe,1410996,13302878,40.002284,119.907096
长寿山,Changshou Mountain,5038,76568,40.068462,119.733832
傍水崖风景区,Bangshuiya Sceneic Area,2493635,34492083,40.131639486392466,119.57182682756246
圣蓝海洋公园,Blue Ocean Park,1696904,20361822,39.670067,119.32279
北戴河夏日避暑胜地,Beidaihe Summer Resort,5131980,58270819,39.8279,119.457245
花果山,Huaguo Mountain,5072735,56809486,40.12852602672407,119.35810229309186
南戴河国际娱乐中心,OCT Binhai International Tourism Resort,13482,10569999,39.73376454645272,119.3517106018454
乐岛海洋王国,Lertao Ocean Kingdom,66698,10559204,39.955558,119.757693
南戴河,Nandaihe,17889,79990,39.786865,119.425345
沙雕海洋乐园,Sand Sculpture Ocean Park,123667,10758772,39.619509,119.303892
画廊谷,Gallery Valley,1675622,18503699,40.114149999999995,119.47248757672116
碧螺塔,Biluo Tower,1829735,24648879,39.821328,119.537173
黄金海岸,Gold Coast,12531,78664,39.70792156512972,119.34425646693091
滦州古城,Luanzhou Ancient City,135103,96878,39.742486797138916,118.75783107312238
奥林匹克大道公园,Olympic Avenue Park,123753,10540166,39.827828,119.514727
中海滩,Middle Beach,5042,10558631,39.81290365401542,119.49010428788046
人民广场,Renmin Square,123741,10540154,39.940563,119.595071
新世纪公园,Xinshiji Park,123730,10540143,39.94796251406409,119.58763557729822
燕山大学,Yan Mountain University,1834937,24654099,39.906497,119.539445
平水桥公园,Pingshuiqiao Park,1675608,18500741,39.816173,119.479141
秦皇岛市玻璃博物馆,Glass Museum,1675510,18500634,39.924298008146415,119.60431306087409
秦皇植物园,Qinhuang Botanical Garden,123722,10540135,39.950977,119.554054
天马浴场,Tianma Bathing Beach,1714470,22867126,39.793775216839535,119.42682055411618
秦皇岛奥体中心体育场,Qinhuangdao Olympic Sports Center Stadium,70885,10559233,39.907684326171875,119.55027770996094
昌黎国际滑沙中心,Changli International Sands Center,140358,10559698,39.63937629020525,119.30437792311795
森林体育公园,Senlintiyu Park,123708,10540122,39.93416340952121,119.53695156099887
北戴河湿地公园,Beidaihe Wetland Park,1829597,24648769,39.84639,119.510259
北戴河历史文化展览馆,Beidaihe Museum,1675588,18500651,39.8255554104775,119.514833539724
东北大学秦皇岛分校,Northeastern University at Qinhuangdao （East Gate 1）,1830337,24649437,39.9228914042893,119.55200613010031
北戴河鲁迅公园,Beidaihe Luxun Park,1832356,24651488,39.81833,119.488316
鹰角亭,Yingjiao Pavilion,1675609,18503702,39.836811700211726,119.52841223368675
北北假日·北戴河蔚蓝海岸小镇,Bright Day Holiday - Beidaihe Seatopia,5550350,61946235,39.777169,119.402192
汤河公园,Tanghe Park,123779,10540189,39.92600060488751,119.5724108162053
北戴河保二路,Baoer Road,1675494,18498251,39.81413887919734,119.48885430508696
猫的天空之城概念书店(北戴河蔚蓝海岸店),Momicafe (Beidaihe Weilan Coast Store),4225975,40051314,39.771177665450914,119.4047636421481
秦皇岛鸟类博物馆,Qinhuangdao Bird Museum,1675581,18500566,39.836008,119.5195
秦行宫遗址,Qin Palace Site,5183,76621,39.817956,119.529694
北戴河东海水浴场,,2736094,38547333,39.80620695632779,119.45547530423545
金海湾森林公园,Golden Bay Forest Park,123755,10540167,39.88925220141,119.53604867055219
秦皇岛浅水湾浴场,"Qianshuiwan Bathing Beach, Qinhuangdao",2494041,34388185,39.85149697890926,119.51754944824043
秦皇岛人民公园,People Park of Qinhuangdao,5140943,58278790,39.93713800194205,119.59505557632141
康寿公园,Kangshou Park,123724,10540137,39.953441,119.595311
北戴河自然生态公园,Beidaihe Ziran Ecology Park,1829598,24648770,39.840383081701,119.51877236366
孟姜女庙,Meng Jiangnu Temple,5037,76567,40.037268,119.823207
老龙头海神庙,"Haishen Temple, Laolongtou Scenic Area",1832016,24651146,39.965914812311766,119.79814941828621
秦皇岛军事科学教育VR基地,Qinhuangdao Junshikexue Jiaoyu Vr Base,2519158,36917059,39.899998,119.4401
澄海楼,Chenghai Tower,134799,96638,39.96879,119.800303
格林多尼儿童职业体验馆,Gelinduoni Ertong Zhiye Experience Hall,2001752,30624647,39.91702530461526,119.5376972413104
东山浴场,Dongshan Bathing Beach,1730079,22882604,39.916537125469866,119.6261879611048
南戴河西浴场,Nandai River West Bathing Spot,1832671,24651808,39.77385781556,119.40279863558
名人别墅,Beidaihe Celebrity Villa,1714479,22867017,39.818924589711,119.47777098129
山海关镇东楼,Great Wall at Shanhaiguan Pass (Zhendong Gate),5131956,58270795,40.036026,119.836121
港口博物馆,Port Museum,1675591,18500641,39.91157428974703,119.61885210424349
山海关城楼,Shanhaiguan Gate Tower,5140947,58278794,40.009271602178934,119.76301983562385
鸽子窝公园-观景台,"Observation Deck, Pigeon Nest Park",69102885,69102885,39.836663660649435,119.52877241099797
秦皇岛园博园,Qinhuangdao Garden Expo Park,5367558,61424226,39.914628,119.47235
小岛失恋博物馆之孤独礼堂,Lonely Hall of Xiaodao Museum of Broken Relationship,5551435,64264511,39.820509,119.53551
秦皇岛海滨国家森林公园,Haibin National Forest Park,1833061,24652205,39.857075,119.522994
月季园,,3144845,38960284,39.820206,119.506092
华贸蔚蓝海岸休闲海滩,Huamao Weilan Hai'an Leisure Beach,5072649,56809400,39.793640090181505,119.43192041704637
止锚湾,Zhimao Bay,79709,90202,40.000888,119.910412
白鹭岛,Egret Island,1675677,18503759,39.95685132813502,119.77131783068853
戴河·海公园,Daihe Sea Park,123688,10540102,39.828578387167894,119.40587850647653
山海关长城文化奇观园,Shanhaiguan Great Wall Cultural Park,134802,96639,39.972171828135814,119.79637024193552
山海关长城博物馆,Shanhaiguan Great Wall Museum,1675539,18500719,40.007605426377076,119.76311635788313
碣石山景区,Jieshi Mountain,13484,78999,39.74822475542401,119.14470380279285
Blue Pink儿童乐园,Blue Pink Children Amusement Park,5035341,56556154,39.77161009975476,119.4043736002659
海景广场,Haijing Square,4365365,49349181,39.907255,119.565367
法云寺,Fayunsi,123737,10540150,39.88814762116664,119.50001778000846
莲花湖公园,Lianhuahu Park,123744,10540157,40.004115051920124,119.76795120961447
半岛公园,,4361373,49353182,39.899317,119.514967
碣石园,,5068078,56806759,39.81705815112141,119.47933269994975
王家大院山海关民俗博物馆(东三条),Wang Jia Dayuan Shan Haiguan Minsu Museum (dongsantiao),1834237,24653403,40.006923086006395,119.75935721272592
鸽子窝公园-休闲亭,"Leisure Pavilion, Pigeon Nest Park",69102886,69102886,39.83618498090207,119.52373779481348
总兵府旅游景区,Zongbingfu Tourism Sceneic Area,142120,10548136,40.00880591185436,119.75410394706032
天元谷度假区,Qian'an Zhongtang Tianyuan Valley,69565345,69565345,39.968759859658576,118.69337837152435
北戴河艺术村落,Beidaihe Art Village,4380368,50764159,39.858094282985526,119.42676077183916
天马山摩崖石刻,"Cliff Carvings, Tianma Mountain",5185,76623,39.94415095429288,119.21626056144525
阿尔卡迪亚海岸度假区体育小镇,Sports Town Of Arcadia Coastal Resort,2518083,36916222,39.631782,119.310465
海恋婚纱摄影基地,Hailian Wedding Photography Base,1714516,22867016,39.816526,119.522616
板厂峪,Banchangyu Ticket Office,123746,10540159,40.199414,119.571643
天女峰,Tiannv Peak,1675427,18495689,40.08215793397085,119.45318626940184
金棕榈话剧社,,2258078,32918191,39.947186,119.5728
北戴河国际光雕园,Beidaihe International Light Sculpture Park,1930473,28325657,39.8539012988,119.4444893731
725石塘路步行街,ShiTang Lu BuXingJie,5168476,58308327,39.821487589916906,119.48838554278677
秦皇岛市科技馆农业馆,,2616188,38426327,39.8204050003046,119.41839899944
太阳城商业区,TaiYangCheng ShangYeQu,5168475,58308326,39.93375,119.606613
紫云山松果乐园,Ziyunshan Songguo Amusement Park,5537382,61912591,40.024158486840946,119.6005703188906
乱刀峪,Luandao Valley,13492,79007,40.01197741535902,119.41409366442015
宁海城,Ninghai City,1832755,24651971,39.970062,119.79882
石河景观带,Stone River Landscape Belt,1675536,18498232,39.99516880807201,119.7382679883433
望龟亭,Wangguiting,123738,10540151,39.81494983685824,119.48448947362397
观鸟湿地,Guanniao Wetland,2669215,38479954,39.85224100610307,119.52373477900473
南戴河仙螺岛游乐中心-望海长廊,"Wanghai Corridor, Nandai River Xianluo Island Amusement Center",68091326,68091326,39.79462843072518,119.43358675644579
戴河生态园,Daihe Ecological Park,3979067,39802306,39.889267081137966,119.39313898050705
开埠地站,Kaibudi Station,5253392,60697038,39.910283,119.617295
阿那亚儿童农庄,Anaya Children Farm,4616612,51839383,39.655007646826526,119.31549699580303
兵部分司署,Department of Military Affairs,1675697,18503817,40.012699565529026,119.75938974603264
银泰水星海洋乐园,YinTai Mercury Ocean Park,1703710,22544623,40.053445,119.940573
秦皇岛首钢赛车谷,Qinhuangdao Shougang Racing Valley,5014359,56383172,40.02441834131664,119.51194291264791
迎恩楼,Ying'en Building,1675640,18503821,40.00652222909829,119.75048508999855
老龙头景区-凉亭,"Kiosk, Laolongtou Scenic Area",4616217,51840561,39.96947063734829,119.79843252366051
山海行宫,Shanhai Palace,5596414,69071802,39.971649,119.795939
UCCA沙丘美术馆,UCCA sand dune Museum,90498919,90498919,39.644588470458984,119.3183364868164
茅台葡萄酒洞,Maotai Wine Cave,1787320,23830611,39.715973,119.174344
碣石宫遗址,Meteorite Palace ruins,124989,10541243,40.000712587927254,119.90169775479062
山海关礼射弓箭馆,,5629395,71493802,40.006108,119.75791
福来岛,Fulai Island,1708749,22672648,39.58173144640998,119.29135610400631
浪淘沙园,Langtaosha Garden,4616712,51839917,39.81529499558564,119.52832477094613
荷塘水乡,,1436056,13723831,39.86471965,119.45491637
鸽子窝大潮坪,,98277365,98277365,39.83674088287182,119.52676223797494
港西绿地,,5546617,61931128,39.892238,119.48298
秦皇星际小蚂蚁乐园,Qinhuang Xingji Xiaomayi Amusement Park,5552364,62087922,39.908794,119.565856
金原美术馆,Jinyuan Gallery,3258789,39075428,39.93536,119.60745
联峰山公园-如来寺,Lianfeng Shan Gongyuan-Ru Lai Temple,65193316,65193316,39.821537545263375,119.45782805292596
蟹贝湾,Xiebei Bay,2487203,34261916,39.58055060332327,119.29135078319014
柳江国家地质公园,Liujiang Guojia Dizhi Park,1832159,24651356,40.080097155653235,119.57353658553312
海浪屿奇趣探险乐园,Hailangyuqiqutanxian Amusement Park,134273,96173,39.94984633871706,119.73150189358962
五佛山国际生态旅游度假区,Wufo Mountain International Eco-Tourism Resort,123747,10540160,40.06729840283646,119.7513963349666
秦皇岛中华荷园水乡庄园-南戴河国际娱乐中心分馆,Qinhuang Island China Lotus Garden Manor of the Region of Rivers and Lakes—Nandaihe International Entertainment Center branch,83139808,83139808,39.72652096742917,119.35121406886472
