id,label,query
1,美食,无聊哪家烧烤店好吃
2,美食,池上便当
3,美食,面筋哥的烤面筋
4,其他生活服务,眼球保养
5,其他生活服务,去哪里照相
6,美食,蛋糕名仕来得冰淇淋蛋糕
7,地址/地标,临安樱花雅苑
8,交通,护士县到合肥
9,无意义/闲聊,猪猪有玉
10,旅游,白鹭洲水利风景区
11,交通,从河口乡到干河陈街道的出租车
12,无意义/闲聊,刚刚你火锅
13,旅游,三号矿坑
14,其他生活服务,爱瑜伽爱家园
15,其他生活服务,红色娘子军都是什么时候演出
16,交通,从双洋镇到新华街街道的动车
17,交通,从南彰镇到城港路街道的飞机票
18,交通,从太霞乡到东石镇的高铁票
19,交通,从瑶田镇到崇寿镇的火车
20,交通,从国营中捷农场到资阳市的动车
21,交通,从花滩镇到新垌镇的出租车
22,交通,从西柯镇到黄埔街道的火车票
23,旅游,潍坊一日游
24,旅游,山东临沂哪里好玩
25,交通,从王京镇到青木川镇的高铁票
26,美食,看看徒手音乐餐厅
27,其他生活服务,锦祥商业街理发
28,其他生活服务,真人CS思
29,其他生活服务,手机维修怎么在套在美团怎么入驻拿下选择了一下
30,无意义/闲聊,西苑卷一食呵呵很低
31,交通,从双林镇到大河口乡的动车票
32,美食,黄石哪里的基围虾最好吃
33,交通,从淮阴区到县城内的飞机票
34,美食,日本桥鳗鱼饭
35,美食,日落餐厅
36,美食,尚品煲仔饭
37,交通,从汉丰街道到横山镇的打车
38,住宿,北京小猪酒店
39,地址/地标,文化广场
40,交通,最便宜的机票
41,旅游,武威柳弯湖度假村
42,旅游,敦煌雷音寺
43,旅游,金银滩水上乐园滑雪场
44,旅游,河南杜甫故里
45,旅游,松花江广场
46,旅游,五大哨口
47,旅游,牛角寨景区
48,旅游,胜山要塞国家森林公园
49,旅游,嘉义公园
50,旅游,奶子沟
51,旅游,宁古塔将军驻地旧城遗址
52,旅游,九族文化村
53,旅游,瓷宫
54,电影,电影哪吒传奇
55,电影,时光记忆影城
56,旅游,大同火山群国家地质公园
57,电影,菲林山谷
58,旅游,齐家文化博物馆
59,旅游,树灵塔
60,电影,你好特是吗今天电影
61,交通,从无锡到六安的火车票
62,旅游,秦巴植物博览园
63,旅游,甘露寺
64,旅游,鬼子寨风景区
65,交通,从金钟山乡到牛头崖管理处的动车
66,旅游,巴中市通江王坪旅游景区
67,交通,从采荷街道到五星街道的高铁
68,旅游,象鼻湾
69,旅游,太蓬山
70,旅游,天池
71,旅游,通江银耳博物馆
72,旅游,八岭湖生态旅游区
73,旅游,库尔勒体育公园
74,旅游,中国最北邮政局
75,旅游,衡阳博物馆
76,旅游,刘氏庄园博物馆
77,交通,从安康乡到珠坑乡的火车票
78,其他生活服务,付家湾生态农庄
79,美食,日本自助
80,无意义/闲聊,死啦铺小镇
81,美食,来一锅正宗牛腩米线
82,旅游,裕龙温泉
83,旅游,杭州helloKitty公园
84,其他生活服务,万里湘江
85,按摩,明月阁足道
86,交通,如皋Z南京的汽车票
87,交通,从西仓乡到喀喇沁旗的火车
88,美食,水煎包胡辣汤
89,其他生活服务,千难采耳堂
90,交通,从坎山镇到城郊乡的动车
91,电影,潜艇总动员影院镇江市
92,旅游,梦幻湖
93,旅游,下季节海
94,旅游,扎陵湖
95,交通,重庆到成都的高铁
96,旅游,白鹿中法风情小镇
97,旅游,刘邦斩蛇碑
98,旅游,蔡伦墓祠
99,交通,从南河街道到九镇乡的高铁票
100,旅游,萧家大院
101,旅游,丽水温泉
102,旅游,长沙世界之窗
103,旅游,阿柔草原
104,旅游,中国雪乡
105,旅游,北仑河口自然保护区
106,旅游,胡志明小道
107,其他生活服务,嗯附近酒吧
108,无意义/闲聊,早起的处理
109,电影,九龙不败
110,其他生活服务,充气娃娃
111,交通,从优胜镇到石洞街道的火车票
112,交通,从水田庄乡到八里罕镇的高铁票
113,住宿,金兰融合度假酒店死怕全包
114,地址/地标,万科广场店
115,其他生活服务,附近的蹦床公园儿
116,交通,从太石镇到白庙镇的高铁票
117,交通,从板桥镇到安泽县的飞机
118,其他生活服务,清理猫公馆
119,旅游,香积寺
120,旅游,海珠湖公园
121,无意义/闲聊,反之风俗
122,旅游,大明山景区
123,旅游,金牛岭公园
124,旅游,兴隆山滑雪场
125,旅游,御窑景巷
126,旅游,五指峰
127,旅游,阿尔泰游乐园
128,旅游,姜维祠
129,旅游,漫花庄园
130,旅游,苍溪临江寺
131,旅游,乌鲁木齐天山大峡谷
132,旅游,波罗吉荣大峡谷
133,旅游,乾州古城
134,旅游,龙江公园
135,交通,从杏南街道到赵堤镇的飞机
136,旅游,大黑山自然保护区
137,旅游,香港迪士尼乐园
138,旅游,白鹤公园
139,旅游,东方华地城湿地风景区
140,旅游,绿梦湿地生态园
141,旅游,云舍生态泳池游乐基地
142,旅游,吉州窑景区
143,旅游,墨戎苗寨
144,旅游,蒲缥温泉度假村
145,旅游,衡水民俗博物馆
146,旅游,河南自然博物馆
147,旅游,德安里
148,旅游,石梯坪
149,旅游,黄河彩虹谷
150,住宿,海边度假酒店
151,无意义/闲聊,晕普莱斯
152,美食,水煮肉片儿哪家好吃
153,交通,从茶坊镇到湛江镇的动车票
154,交通,从县城内到铺门镇的动车票
155,住宿,昆明官渡区海丽宾雅度假酒店
156,住宿,宁波象山海景皇冠酒店
157,住宿,吕公堡有招待所吗
158,住宿,石油商务酒店
159,交通,从城南街道到凤山镇的动车
160,住宿,这个还有酒店
161,旅游,宝应湖国家湿地公园
162,旅游,草原旅游景点
163,交通,从磨石山经营所到乾安县的高铁
164,旅游,园博园水上世界
165,住宿,新鸿酒店
166,交通,从公乌素镇到十里亭镇的打车
167,旅游,春晖园温泉
168,交通,从苍坂农场到矿区的火车票
169,交通,从余字乡到兴隆乡的动车
170,交通,从舜耕镇到红峰农场的火车票
171,交通,从友好区到文竹镇的出租车
172,旅游,八所镇
173,旅游,统景风景区
174,旅游,闽南古镇
175,交通,从荣华乡到祁禄山镇的动车票
176,交通,从双庙子镇到明月林场的飞机
177,交通,从板杉乡到利桥乡的动车票
178,交通,从帮堆乡到县城内的动车
179,交通,从李庄镇到保石乡的出租车
180,交通,从圩上桥镇到众兴镇的打车
181,交通,从曹家湾镇到旌德县的出租车
182,交通,从忙农镇到吴官营乡的飞机
183,交通,从清平乡到水口镇的出租车
184,美食,必胜客万尚城店
185,交通,从县城内到城郊街道的火车票
186,交通,从波罗镇到五十镇的火车
187,旅游,三江水乡
188,交通,从文化街道到濑湍镇的火车票
